Name,Year,Month,ArticleCount,CitationCount
"ACM Journal on Emerging Technologies in Computing Systems","2005","April","2","12"
"ACM Journal on Emerging Technologies in Computing Systems","2005","July","2","66"
"ACM Journal on Emerging Technologies in Computing Systems","2005","October","2","20"
"ACM Journal on Emerging Technologies in Computing Systems","2006","April","3","95"
"ACM Journal on Emerging Technologies in Computing Systems","2006","January","2","40"
"ACM Journal on Emerging Technologies in Computing Systems","2006","July","3","35"
"ACM Journal on Emerging Technologies in Computing Systems","2006","October","3","20"
"ACM Journal on Emerging Technologies in Computing Systems","2007","April","3","72"
"ACM Journal on Emerging Technologies in Computing Systems","2007","July","7","41"
"ACM Journal on Emerging Technologies in Computing Systems","2007","November","5","37"
"ACM Journal on Emerging Technologies in Computing Systems","2008","April","5","24"
"ACM Journal on Emerging Technologies in Computing Systems","2008","August","5","19"
"ACM Journal on Emerging Technologies in Computing Systems","2008","January","4","28"
"ACM Journal on Emerging Technologies in Computing Systems","2008","March","3","5"
"ACM Journal on Emerging Technologies in Computing Systems","2008","October","5","35"
"ACM Journal on Emerging Technologies in Computing Systems","2009","August","4","4"
"ACM Journal on Emerging Technologies in Computing Systems","2009","January","5","8"
"ACM Journal on Emerging Technologies in Computing Systems","2009","July","6","38"
"ACM Journal on Emerging Technologies in Computing Systems","2009","November","4","15"
"ACM Journal on Emerging Technologies in Computing Systems","2010","August","3","11"
"ACM Journal on Emerging Technologies in Computing Systems","2010","December","4","23"
"ACM Journal on Emerging Technologies in Computing Systems","2010","June","5","8"
"ACM Journal on Emerging Technologies in Computing Systems","2010","March","2","3"
"ACM Journal on Emerging Technologies in Computing Systems","2011","August","4","13"
"ACM Journal on Emerging Technologies in Computing Systems","2011","December","7","13"
"ACM Journal on Emerging Technologies in Computing Systems","2011","January","4","10"
"ACM Journal on Emerging Technologies in Computing Systems","2011","June","5","25"
"ACM Journal on Emerging Technologies in Computing Systems","2012","August","12","11"
"ACM Journal on Emerging Technologies in Computing Systems","2012","February","6","24"
"ACM Journal on Emerging Technologies in Computing Systems","2012","June","7","0"
"ACM Journal on Emerging Technologies in Computing Systems","2012","October","9","9"
"ACM Journal on Emerging Technologies in Computing Systems","2013","February","9","5"
"ACM Journal on Emerging Technologies in Computing Systems","2013","May","7","15"
"ACM Journal on Emerging Technologies in Computing Systems","2013","November","5","0"
"ACM Journal on Emerging Technologies in Computing Systems","2013","October","1","0"
"ACM Journal on Emerging Technologies in Computing Systems","2013","September","9","13"
"ACM Journal on Emerging Technologies in Computing Systems","2014","April","8","9"
"ACM Journal on Emerging Technologies in Computing Systems","2014","December","12","0"
"ACM Journal on Emerging Technologies in Computing Systems","2014","February","7","7"
"ACM Journal on Emerging Technologies in Computing Systems","2014","January","11","15"
"ACM Journal on Emerging Technologies in Computing Systems","2014","May","7","9"
"ACM Journal on Emerging Technologies in Computing Systems","2014","November","12","7"
"ACM Journal on Emerging Technologies in Computing Systems","2014","September","7","6"
"ACM Journal on Emerging Technologies in Computing Systems","2015","April","12","0"
"ACM Journal on Emerging Technologies in Computing Systems","2015","August","9","5"
"ACM Journal on Emerging Technologies in Computing Systems","2015","July","10","0"
"ACM Journal on Emerging Technologies in Computing Systems","2015","September","11","0"
"ACM Journal on Emerging Technologies in Computing Systems","2016","March","8","0"
