Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Accessible Computing","2008","May","5","116"
"ACM Transactions on Accessible Computing","2008","October","6","80"
"ACM Transactions on Accessible Computing","2009","February","5","38"
"ACM Transactions on Accessible Computing","2009","June","5","62"
"ACM Transactions on Accessible Computing","2009","May","6","83"
"ACM Transactions on Accessible Computing","2010","June","3","21"
"ACM Transactions on Accessible Computing","2010","March","2","56"
"ACM Transactions on Accessible Computing","2010","November","5","30"
"ACM Transactions on Accessible Computing","2010","September","3","42"
"ACM Transactions on Accessible Computing","2011","April","5","120"
"ACM Transactions on Accessible Computing","2011","November","5","31"
"ACM Transactions on Accessible Computing","2012","December","4","29"
"ACM Transactions on Accessible Computing","2012","March","4","27"
"ACM Transactions on Accessible Computing","2013","July","2","3"
"ACM Transactions on Accessible Computing","2013","October","3","5"
"ACM Transactions on Accessible Computing","2013","September","2","2"
"ACM Transactions on Accessible Computing","2014","January","3","12"
"ACM Transactions on Accessible Computing","2014","March","2","7"
"ACM Transactions on Accessible Computing","2015","July","4","16"
"ACM Transactions on Accessible Computing","2015","June","11","43"
"ACM Transactions on Accessible Computing","2015","March","7","17"
"ACM Transactions on Accessible Computing","2015","November","7","0"
"ACM Transactions on Accessible Computing","2016","April","4","0"
"ACM Transactions on Accessible Computing","2016","January","7","0"
"ACM Transactions on Accessible Computing","2016","March","1","0"
