Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Algorithms","1997","Nov.","1","8"
"ACM Transactions on Algorithms","2005","July","11","110"
"ACM Transactions on Algorithms","2005","October","8","59"
"ACM Transactions on Algorithms","2006","April","8","66"
"ACM Transactions on Algorithms","2006","January","8","10"
"ACM Transactions on Algorithms","2006","July","9","70"
"ACM Transactions on Algorithms","2006","October","12","117"
"ACM Transactions on Algorithms","2007","August","10","158"
"ACM Transactions on Algorithms","2007","February","10","85"
"ACM Transactions on Algorithms","2007","May","14","184"
"ACM Transactions on Algorithms","2007","November","17","256"
"ACM Transactions on Algorithms","2008","August","14","76"
"ACM Transactions on Algorithms","2008","June","14","156"
"ACM Transactions on Algorithms","2008","March","15","103"
"ACM Transactions on Algorithms","2008","May","8","43"
"ACM Transactions on Algorithms","2008","November","14","78"
"ACM Transactions on Algorithms","2009","December","21","120"
"ACM Transactions on Algorithms","2009","July","9","55"
"ACM Transactions on Algorithms","2009","March","10","36"
"ACM Transactions on Algorithms","2009","October","13","49"
"ACM Transactions on Algorithms","2010","August","15","56"
"ACM Transactions on Algorithms","2010","June","13","74"
"ACM Transactions on Algorithms","2010","March","22","132"
"ACM Transactions on Algorithms","2010","November","13","49"
"ACM Transactions on Algorithms","2011","July","2","2"
"ACM Transactions on Algorithms","2011","March","14","27"
"ACM Transactions on Algorithms","2011","September","15","41"
"ACM Transactions on Algorithms","2012","April","11","15"
"ACM Transactions on Algorithms","2012","December","13","33"
"ACM Transactions on Algorithms","2012","January","8","55"
"ACM Transactions on Algorithms","2012","July","13","29"
"ACM Transactions on Algorithms","2012","November","1","0"
"ACM Transactions on Algorithms","2012","September","12","19"
"ACM Transactions on Algorithms","2013","June","9","21"
"ACM Transactions on Algorithms","2013","March","6","5"
"ACM Transactions on Algorithms","2013","October","1","0"
"ACM Transactions on Algorithms","2013","September","6","11"
"ACM Transactions on Algorithms","2014","August","8","9"
"ACM Transactions on Algorithms","2014","February","5","13"
"ACM Transactions on Algorithms","2014","January","4","0"
"ACM Transactions on Algorithms","2014","June","7","2"
"ACM Transactions on Algorithms","2014","November","8","8"
"ACM Transactions on Algorithms","2014","October","7","2"
"ACM Transactions on Algorithms","2015","January","9","3"
"ACM Transactions on Algorithms","2015","June","11","8"
"ACM Transactions on Algorithms","2016","February","26","2"
