Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Applied Perception","2004","July","5","119"
"ACM Transactions on Applied Perception","2004","October","4","48"
"ACM Transactions on Applied Perception","2005","April","8","262"
"ACM Transactions on Applied Perception","2005","January","4","73"
"ACM Transactions on Applied Perception","2005","October","29","113"
"ACM Transactions on Applied Perception","2006","April","5","124"
"ACM Transactions on Applied Perception","2006","January","5","51"
"ACM Transactions on Applied Perception","2006","July","9","81"
"ACM Transactions on Applied Perception","2006","October","6","39"
"ACM Transactions on Applied Perception","2007","January","8","101"
"ACM Transactions on Applied Perception","2007","July","5","95"
"ACM Transactions on Applied Perception","2008","August","5","93"
"ACM Transactions on Applied Perception","2008","January","17","153"
"ACM Transactions on Applied Perception","2009","August","8","94"
"ACM Transactions on Applied Perception","2009","February","11","168"
"ACM Transactions on Applied Perception","2009","January","6","17"
"ACM Transactions on Applied Perception","2009","September","6","50"
"ACM Transactions on Applied Perception","2010","February","7","62"
"ACM Transactions on Applied Perception","2010","January","7","65"
"ACM Transactions on Applied Perception","2010","July","7","84"
"ACM Transactions on Applied Perception","2010","June","6","50"
"ACM Transactions on Applied Perception","2010","October","8","25"
"ACM Transactions on Applied Perception","2011","August","6","68"
"ACM Transactions on Applied Perception","2011","January","7","73"
"ACM Transactions on Applied Perception","2011","November","7","46"
"ACM Transactions on Applied Perception","2012","July","1","0"
"ACM Transactions on Applied Perception","2012","June","4","15"
"ACM Transactions on Applied Perception","2012","March","5","23"
"ACM Transactions on Applied Perception","2012","October","6","6"
"ACM Transactions on Applied Perception","2013","August","6","7"
"ACM Transactions on Applied Perception","2013","February","6","9"
"ACM Transactions on Applied Perception","2013","January","5","19"
"ACM Transactions on Applied Perception","2013","October","10","16"
"ACM Transactions on Applied Perception","2014","April","4","16"
"ACM Transactions on Applied Perception","2014","July","6","8"
"ACM Transactions on Applied Perception","2014","October","6","39"
"ACM Transactions on Applied Perception","2015","April","3","3"
"ACM Transactions on Applied Perception","2015","December","5","0"
"ACM Transactions on Applied Perception","2015","January","7","6"
"ACM Transactions on Applied Perception","2015","July","6","0"
"ACM Transactions on Applied Perception","2015","March","4","0"
"ACM Transactions on Applied Perception","2015","September","6","0"
"ACM Transactions on Applied Perception","2016","April","1","0"
"ACM Transactions on Applied Perception","2016","March","5","0"
