Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Architecture and Code Optimization","2004","December","4","102"
"ACM Transactions on Architecture and Code Optimization","2004","June","4","22"
"ACM Transactions on Architecture and Code Optimization","2004","March","4","283"
"ACM Transactions on Architecture and Code Optimization","2004","September","4","71"
"ACM Transactions on Architecture and Code Optimization","2005","December","4","103"
"ACM Transactions on Architecture and Code Optimization","2005","June","4","51"
"ACM Transactions on Architecture and Code Optimization","2005","March","4","108"
"ACM Transactions on Architecture and Code Optimization","2005","September","4","71"
"ACM Transactions on Architecture and Code Optimization","2006","December","6","37"
"ACM Transactions on Architecture and Code Optimization","2006","June","4","29"
"ACM Transactions on Architecture and Code Optimization","2006","March","4","30"
"ACM Transactions on Architecture and Code Optimization","2006","September","4","34"
"ACM Transactions on Architecture and Code Optimization","2007","June","6","31"
"ACM Transactions on Architecture and Code Optimization","2007","March","6","60"
"ACM Transactions on Architecture and Code Optimization","2007","September","6","42"
"ACM Transactions on Architecture and Code Optimization","2008","August","4","50"
"ACM Transactions on Architecture and Code Optimization","2008","January","6","88"
"ACM Transactions on Architecture and Code Optimization","2008","May","7","130"
"ACM Transactions on Architecture and Code Optimization","2008","November","4","7"
"ACM Transactions on Architecture and Code Optimization","2009","June","4","61"
"ACM Transactions on Architecture and Code Optimization","2009","March","8","41"
"ACM Transactions on Architecture and Code Optimization","2009","October","4","8"
"ACM Transactions on Architecture and Code Optimization","2009","September","4","18"
"ACM Transactions on Architecture and Code Optimization","2010","April","5","77"
"ACM Transactions on Architecture and Code Optimization","2010","December","9","49"
"ACM Transactions on Architecture and Code Optimization","2010","September","7","40"
"ACM Transactions on Architecture and Code Optimization","2011","April","5","29"
"ACM Transactions on Architecture and Code Optimization","2011","July","4","45"
"ACM Transactions on Architecture and Code Optimization","2011","October","8","40"
"ACM Transactions on Architecture and Code Optimization","2012","January","38","235"
"ACM Transactions on Architecture and Code Optimization","2012","June","6","34"
"ACM Transactions on Architecture and Code Optimization","2012","March","6","53"
"ACM Transactions on Architecture and Code Optimization","2012","September","11","35"
"ACM Transactions on Architecture and Code Optimization","2013","April","5","43"
"ACM Transactions on Architecture and Code Optimization","2013","December","43","56"
"ACM Transactions on Architecture and Code Optimization","2013","January","37","258"
"ACM Transactions on Architecture and Code Optimization","2013","May","4","7"
"ACM Transactions on Architecture and Code Optimization","2013","October","1","0"
"ACM Transactions on Architecture and Code Optimization","2013","September","11","17"
"ACM Transactions on Architecture and Code Optimization","2014","February","14","31"
"ACM Transactions on Architecture and Code Optimization","2014","June","8","8"
"ACM Transactions on Architecture and Code Optimization","2014","October","12","30"
"ACM Transactions on Architecture and Code Optimization","2015","April","8","8"
"ACM Transactions on Architecture and Code Optimization","2015","January","33","33"
"ACM Transactions on Architecture and Code Optimization","2015","July","17","7"
"ACM Transactions on Architecture and Code Optimization","2015","October","7","0"
"ACM Transactions on Architecture and Code Optimization","2016","April","14","0"
"ACM Transactions on Architecture and Code Optimization","2016","January","34","0"
