Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Asian and Low-Resource Language Information Processing","2002","December","2","6"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2002","June","4","59"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2002","March","5","26"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2002","September","4","23"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2003","December","2","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2003","June","8","97"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2003","March","4","34"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2003","September","8","102"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2004","December","4","160"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2004","June","6","22"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2004","March","5","196"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2004","September","2","10"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2005","December","6","30"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2005","June","7","94"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2005","March","3","15"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2005","September","8","23"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2006","December","6","18"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2006","June","4","45"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2006","March","6","24"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2006","September","6","42"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2007","April","5","10"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2007","December","3","27"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2007","November","3","2"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2007","September","3","25"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2008","August","3","7"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2008","February","3","21"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2008","June","4","13"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2008","November","3","5"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2009","August","3","4"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2009","December","7","45"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2009","March","4","22"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2009","May","5","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2010","December","3","10"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2010","June","3","24"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2010","March","4","5"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2010","September","5","17"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2011","December","5","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2011","June","4","10"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2011","March","6","3"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2011","September","6","7"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2012","December","7","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2012","June","4","12"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2012","March","3","3"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2012","September","4","2"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2013","August","5","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2013","June","3","4"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2013","March","4","14"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2013","October","5","3"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2014","December","3","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2014","February","5","9"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2014","June","5","4"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2014","September","5","3"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2015","January","5","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2015","June","4","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2015","March","4","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2015","October","5","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2016","February","5","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2016","January","5","0"
"ACM Transactions on Asian and Low-Resource Language Information Processing","2016","March","10","0"
