Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Autonomous and Adaptive Systems","2006","December","4","323"
"ACM Transactions on Autonomous and Adaptive Systems","2006","September","6","209"
"ACM Transactions on Autonomous and Adaptive Systems","2007","June","3","63"
"ACM Transactions on Autonomous and Adaptive Systems","2007","March","3","69"
"ACM Transactions on Autonomous and Adaptive Systems","2007","November","5","68"
"ACM Transactions on Autonomous and Adaptive Systems","2007","September","5","45"
"ACM Transactions on Autonomous and Adaptive Systems","2008","August","4","66"
"ACM Transactions on Autonomous and Adaptive Systems","2008","January","3","30"
"ACM Transactions on Autonomous and Adaptive Systems","2008","March","4","119"
"ACM Transactions on Autonomous and Adaptive Systems","2008","November","9","30"
"ACM Transactions on Autonomous and Adaptive Systems","2009","January","14","300"
"ACM Transactions on Autonomous and Adaptive Systems","2009","July","5","50"
"ACM Transactions on Autonomous and Adaptive Systems","2009","November","5","39"
"ACM Transactions on Autonomous and Adaptive Systems","2010","February","4","49"
"ACM Transactions on Autonomous and Adaptive Systems","2010","January","4","29"
"ACM Transactions on Autonomous and Adaptive Systems","2010","November","4","19"
"ACM Transactions on Autonomous and Adaptive Systems","2010","September","4","21"
"ACM Transactions on Autonomous and Adaptive Systems","2011","February","10","50"
"ACM Transactions on Autonomous and Adaptive Systems","2011","June","6","38"
"ACM Transactions on Autonomous and Adaptive Systems","2011","October","7","4"
"ACM Transactions on Autonomous and Adaptive Systems","2011","September","6","14"
"ACM Transactions on Autonomous and Adaptive Systems","2012","April","16","33"
"ACM Transactions on Autonomous and Adaptive Systems","2012","December","5","33"
"ACM Transactions on Autonomous and Adaptive Systems","2012","July","13","30"
"ACM Transactions on Autonomous and Adaptive Systems","2012","September","5","14"
"ACM Transactions on Autonomous and Adaptive Systems","2013","April","6","9"
"ACM Transactions on Autonomous and Adaptive Systems","2013","July","5","3"
"ACM Transactions on Autonomous and Adaptive Systems","2013","September","4","8"
"ACM Transactions on Autonomous and Adaptive Systems","2014","January","6","30"
"ACM Transactions on Autonomous and Adaptive Systems","2014","July","6","22"
"ACM Transactions on Autonomous and Adaptive Systems","2014","March","5","6"
"ACM Transactions on Autonomous and Adaptive Systems","2014","October","5","5"
"ACM Transactions on Autonomous and Adaptive Systems","2015","January","5","0"
"ACM Transactions on Autonomous and Adaptive Systems","2015","June","7","0"
"ACM Transactions on Autonomous and Adaptive Systems","2015","March","6","0"
"ACM Transactions on Autonomous and Adaptive Systems","2015","October","8","0"
"ACM Transactions on Autonomous and Adaptive Systems","2016","February","12","0"
