Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Computer-Human Interaction","1994","December","3","204"
"ACM Transactions on Computer-Human Interaction","1994","January","3","146"
"ACM Transactions on Computer-Human Interaction","1994","June","3","412"
"ACM Transactions on Computer-Human Interaction","1994","March","3","433"
"ACM Transactions on Computer-Human Interaction","1995","December","4","128"
"ACM Transactions on Computer-Human Interaction","1995","January","5","584"
"ACM Transactions on Computer-Human Interaction","1995","June","2","34"
"ACM Transactions on Computer-Human Interaction","1995","March","3","182"
"ACM Transactions on Computer-Human Interaction","1996","December","4","400"
"ACM Transactions on Computer-Human Interaction","1996","January","4","226"
"ACM Transactions on Computer-Human Interaction","1996","June","3","233"
"ACM Transactions on Computer-Human Interaction","1996","March","3","325"
"ACM Transactions on Computer-Human Interaction","1997","December","4","76"
"ACM Transactions on Computer-Human Interaction","1997","January","3","94"
"ACM Transactions on Computer-Human Interaction","1997","June","4","80"
"ACM Transactions on Computer-Human Interaction","1997","March","3","198"
"ACM Transactions on Computer-Human Interaction","1998","December","2","147"
"ACM Transactions on Computer-Human Interaction","1998","January","3","316"
"ACM Transactions on Computer-Human Interaction","1998","June","2","59"
"ACM Transactions on Computer-Human Interaction","1998","March","3","259"
"ACM Transactions on Computer-Human Interaction","1999","December","4","183"
"ACM Transactions on Computer-Human Interaction","1999","January","4","397"
"ACM Transactions on Computer-Human Interaction","1999","June","3","376"
"ACM Transactions on Computer-Human Interaction","1999","March","3","148"
"ACM Transactions on Computer-Human Interaction","2000","December","4","411"
"ACM Transactions on Computer-Human Interaction","2000","January","5","648"
"ACM Transactions on Computer-Human Interaction","2000","June","5","596"
"ACM Transactions on Computer-Human Interaction","2000","March","5","1737"
"ACM Transactions on Computer-Human Interaction","2001","December","1","60"
"ACM Transactions on Computer-Human Interaction","2001","June","3","161"
"ACM Transactions on Computer-Human Interaction","2001","March","3","180"
"ACM Transactions on Computer-Human Interaction","2001","September","3","75"
"ACM Transactions on Computer-Human Interaction","2002","December","5","204"
"ACM Transactions on Computer-Human Interaction","2002","June","5","342"
"ACM Transactions on Computer-Human Interaction","2002","March","2","105"
"ACM Transactions on Computer-Human Interaction","2002","September","2","132"
"ACM Transactions on Computer-Human Interaction","2003","December","4","366"
"ACM Transactions on Computer-Human Interaction","2003","June","3","127"
"ACM Transactions on Computer-Human Interaction","2003","March","4","83"
"ACM Transactions on Computer-Human Interaction","2003","September","4","231"
"ACM Transactions on Computer-Human Interaction","2004","December","5","253"
"ACM Transactions on Computer-Human Interaction","2004","June","3","201"
"ACM Transactions on Computer-Human Interaction","2004","March","5","201"
"ACM Transactions on Computer-Human Interaction","2004","September","4","65"
"ACM Transactions on Computer-Human Interaction","2005","December","5","272"
"ACM Transactions on Computer-Human Interaction","2005","June","8","908"
"ACM Transactions on Computer-Human Interaction","2005","March","6","631"
"ACM Transactions on Computer-Human Interaction","2005","September","5","371"
"ACM Transactions on Computer-Human Interaction","2006","December","5","306"
"ACM Transactions on Computer-Human Interaction","2006","June","5","213"
"ACM Transactions on Computer-Human Interaction","2006","March","4","411"
"ACM Transactions on Computer-Human Interaction","2006","September","5","175"
"ACM Transactions on Computer-Human Interaction","2007","August","5","114"
"ACM Transactions on Computer-Human Interaction","2007","January","5","149"
"ACM Transactions on Computer-Human Interaction","2007","September","5","136"
"ACM Transactions on Computer-Human Interaction","2008","January","12","499"
"ACM Transactions on Computer-Human Interaction","2008","July","3","171"
"ACM Transactions on Computer-Human Interaction","2008","November","9","341"
"ACM Transactions on Computer-Human Interaction","2009","April","6","198"
"ACM Transactions on Computer-Human Interaction","2009","June","5","177"
"ACM Transactions on Computer-Human Interaction","2009","November","6","209"
"ACM Transactions on Computer-Human Interaction","2009","September","4","92"
"ACM Transactions on Computer-Human Interaction","2010","December","5","158"
"ACM Transactions on Computer-Human Interaction","2010","January","4","97"
"ACM Transactions on Computer-Human Interaction","2010","July","4","141"
"ACM Transactions on Computer-Human Interaction","2010","March","5","147"
"ACM Transactions on Computer-Human Interaction","2011","April","4","171"
"ACM Transactions on Computer-Human Interaction","2011","December","6","90"
"ACM Transactions on Computer-Human Interaction","2011","July","7","254"
"ACM Transactions on Computer-Human Interaction","2011","June","6","120"
"ACM Transactions on Computer-Human Interaction","2012","December","8","143"
"ACM Transactions on Computer-Human Interaction","2012","July","8","62"
"ACM Transactions on Computer-Human Interaction","2012","March","8","92"
"ACM Transactions on Computer-Human Interaction","2012","October","8","165"
"ACM Transactions on Computer-Human Interaction","2013","December","5","99"
"ACM Transactions on Computer-Human Interaction","2013","January","4","38"
"ACM Transactions on Computer-Human Interaction","2013","July","7","184"
"ACM Transactions on Computer-Human Interaction","2013","March","8","87"
"ACM Transactions on Computer-Human Interaction","2013","November","5","66"
"ACM Transactions on Computer-Human Interaction","2013","September","7","137"
"ACM Transactions on Computer-Human Interaction","2014","August","5","25"
"ACM Transactions on Computer-Human Interaction","2014","February","13","72"
"ACM Transactions on Computer-Human Interaction","2014","June","6","28"
"ACM Transactions on Computer-Human Interaction","2014","November","4","15"
"ACM Transactions on Computer-Human Interaction","2015","April","6","5"
"ACM Transactions on Computer-Human Interaction","2015","December","8","4"
"ACM Transactions on Computer-Human Interaction","2015","January","7","6"
"ACM Transactions on Computer-Human Interaction","2015","July","5","4"
"ACM Transactions on Computer-Human Interaction","2015","June","5","8"
"ACM Transactions on Computer-Human Interaction","2015","March","4","16"
"ACM Transactions on Computer-Human Interaction","2015","October","6","5"
"ACM Transactions on Computer-Human Interaction","2016","February","7","0"
