Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Computing Education","2001","August","1","70"
"ACM Transactions on Computing Education","2001","December","8","39"
"ACM Transactions on Computing Education","2001","March","6","57"
"ACM Transactions on Computing Education","2002","December","4","42"
"ACM Transactions on Computing Education","2002","June","4","1"
"ACM Transactions on Computing Education","2002","March","7","30"
"ACM Transactions on Computing Education","2002","September","2","0"
"ACM Transactions on Computing Education","2003","December","1","33"
"ACM Transactions on Computing Education","2003","June","2","29"
"ACM Transactions on Computing Education","2003","March","3","41"
"ACM Transactions on Computing Education","2003","September","2","95"
"ACM Transactions on Computing Education","2004","December","1","0"
"ACM Transactions on Computing Education","2004","June","4","8"
"ACM Transactions on Computing Education","2004","March","6","135"
"ACM Transactions on Computing Education","2004","September","4","50"
"ACM Transactions on Computing Education","2005","December","3","1"
"ACM Transactions on Computing Education","2005","June","5","32"
"ACM Transactions on Computing Education","2005","March","3","28"
"ACM Transactions on Computing Education","2005","September","7","189"
"ACM Transactions on Computing Education","2006","December","6","22"
"ACM Transactions on Computing Education","2006","June","2","3"
"ACM Transactions on Computing Education","2006","March","3","43"
"ACM Transactions on Computing Education","2006","September","6","5"
"ACM Transactions on Computing Education","2007","June","2","37"
"ACM Transactions on Computing Education","2007","March","3","23"
"ACM Transactions on Computing Education","2007","November","2","47"
"ACM Transactions on Computing Education","2008","January","6","53"
"ACM Transactions on Computing Education","2008","June","3","28"
"ACM Transactions on Computing Education","2008","March","3","37"
"ACM Transactions on Computing Education","2008","October","3","30"
"ACM Transactions on Computing Education","2009","January","3","4"
"ACM Transactions on Computing Education","2009","June","7","57"
"ACM Transactions on Computing Education","2009","March","7","93"
"ACM Transactions on Computing Education","2009","September","3","7"
"ACM Transactions on Computing Education","2010","August","3","28"
"ACM Transactions on Computing Education","2010","January","4","15"
"ACM Transactions on Computing Education","2010","June","4","23"
"ACM Transactions on Computing Education","2010","March","4","39"
"ACM Transactions on Computing Education","2010","November","6","277"
"ACM Transactions on Computing Education","2011","February","5","34"
"ACM Transactions on Computing Education","2011","July","7","52"
"ACM Transactions on Computing Education","2011","November","4","19"
"ACM Transactions on Computing Education","2011","October","8","35"
"ACM Transactions on Computing Education","2012","April","4","32"
"ACM Transactions on Computing Education","2012","July","4","14"
"ACM Transactions on Computing Education","2012","March","4","18"
"ACM Transactions on Computing Education","2012","November","4","25"
"ACM Transactions on Computing Education","2013","August","6","59"
"ACM Transactions on Computing Education","2013","January","5","0"
"ACM Transactions on Computing Education","2013","June","3","35"
"ACM Transactions on Computing Education","2013","November","5","43"
"ACM Transactions on Computing Education","2014","June","10","71"
"ACM Transactions on Computing Education","2014","March","5","21"
"ACM Transactions on Computing Education","2014","November","6","9"
"ACM Transactions on Computing Education","2015","December","6","0"
"ACM Transactions on Computing Education","2015","February","6","5"
"ACM Transactions on Computing Education","2015","January","7","28"
"ACM Transactions on Computing Education","2015","March","4","7"
"ACM Transactions on Computing Education","2015","September","4","0"
"ACM Transactions on Computing Education","2016","February","4","0"
"ACM Transactions on Computing Education","2016","March","5","0"
