Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Database Systems","","Dec.","4","168"
"ACM Transactions on Database Systems","1976","Dec.","5","179"
"ACM Transactions on Database Systems","1976","June","4","643"
"ACM Transactions on Database Systems","1976","March","6","2025"
"ACM Transactions on Database Systems","1976","Sept.","5","1105"
"ACM Transactions on Database Systems","1977","Dec.","6","127"
"ACM Transactions on Database Systems","1977","June","4","635"
"ACM Transactions on Database Systems","1977","March","4","350"
"ACM Transactions on Database Systems","1977","Sept.","6","493"
"ACM Transactions on Database Systems","1978","Dec.","5","173"
"ACM Transactions on Database Systems","1978","June","4","361"
"ACM Transactions on Database Systems","1978","March","5","96"
"ACM Transactions on Database Systems","1978","Sept.","7","247"
"ACM Transactions on Database Systems","1979","Dec.","8","876"
"ACM Transactions on Database Systems","1979","June","7","628"
"ACM Transactions on Database Systems","1979","March","6","543"
"ACM Transactions on Database Systems","1979","Sept.","6","614"
"ACM Transactions on Database Systems","1980","June","6","375"
"ACM Transactions on Database Systems","1980","March","5","270"
"ACM Transactions on Database Systems","1980","Sept.","6","374"
"ACM Transactions on Database Systems","1981","Dec.","7","756"
"ACM Transactions on Database Systems","1981","June","7","631"
"ACM Transactions on Database Systems","1981","March","8","679"
"ACM Transactions on Database Systems","1981","Sept.","7","340"
"ACM Transactions on Database Systems","1982","Dec.","8","186"
"ACM Transactions on Database Systems","1982","June","7","307"
"ACM Transactions on Database Systems","1982","March","5","142"
"ACM Transactions on Database Systems","1982","Sept.","9","585"
"ACM Transactions on Database Systems","1983","Dec.","10","254"
"ACM Transactions on Database Systems","1983","June","5","416"
"ACM Transactions on Database Systems","1983","March","7","157"
"ACM Transactions on Database Systems","1983","Sept.","6","159"
"ACM Transactions on Database Systems","1984","Dec.","8","642"
"ACM Transactions on Database Systems","1984","June","7","328"
"ACM Transactions on Database Systems","1984","March","7","713"
"ACM Transactions on Database Systems","1984","Sept.","8","258"
"ACM Transactions on Database Systems","1985","Dec.","4","244"
"ACM Transactions on Database Systems","1985","June","7","225"
"ACM Transactions on Database Systems","1985","March","7","129"
"ACM Transactions on Database Systems","1985","Sept.","4","308"
"ACM Transactions on Database Systems","1986","Dec.","8","418"
"ACM Transactions on Database Systems","1986","June","5","78"
"ACM Transactions on Database Systems","1986","March","4","78"
"ACM Transactions on Database Systems","1986","Sept.","5","303"
"ACM Transactions on Database Systems","1987","Dec.","5","423"
"ACM Transactions on Database Systems","1987","June","6","662"
"ACM Transactions on Database Systems","1987","March","5","86"
"ACM Transactions on Database Systems","1987","Sept.","8","113"
"ACM Transactions on Database Systems","1988","Dec.","5","334"
"ACM Transactions on Database Systems","1988","June","3","119"
"ACM Transactions on Database Systems","1988","March","4","504"
"ACM Transactions on Database Systems","1988","Sept.","5","184"
"ACM Transactions on Database Systems","1989","Dec.","6","154"
"ACM Transactions on Database Systems","1989","June","5","96"
"ACM Transactions on Database Systems","1989","March","6","27"
"ACM Transactions on Database Systems","1989","Sept.","5","265"
"ACM Transactions on Database Systems","1990","Dec.","5","248"
"ACM Transactions on Database Systems","1990","June","5","330"
"ACM Transactions on Database Systems","1990","March","4","167"
"ACM Transactions on Database Systems","1990","Sept.","6","225"
"ACM Transactions on Database Systems","1991","Dec.","5","117"
"ACM Transactions on Database Systems","1991","June","5","101"
"ACM Transactions on Database Systems","1991","March","6","324"
"ACM Transactions on Database Systems","1991","Sept.","7","155"
"ACM Transactions on Database Systems","1992","Dec.","5","58"
"ACM Transactions on Database Systems","1992","June","5","87"
"ACM Transactions on Database Systems","1992","March","5","693"
"ACM Transactions on Database Systems","1992","Sept.","5","217"
"ACM Transactions on Database Systems","1993","Dec.","1","32"
"ACM Transactions on Database Systems","1993","June","5","56"
"ACM Transactions on Database Systems","1993","March","5","96"
"ACM Transactions on Database Systems","1993","Sept.","5","93"
"ACM Transactions on Database Systems","1994","Dec.","3","65"
"ACM Transactions on Database Systems","1994","June","5","341"
"ACM Transactions on Database Systems","1994","March","4","99"
"ACM Transactions on Database Systems","1994","Sept.","4","122"
"ACM Transactions on Database Systems","1995","Dec.","3","35"
"ACM Transactions on Database Systems","1995","June","3","43"
"ACM Transactions on Database Systems","1995","March","3","51"
"ACM Transactions on Database Systems","1995","Sept.","4","72"
"ACM Transactions on Database Systems","1996","Dec.","3","136"
"ACM Transactions on Database Systems","1996","June","4","56"
"ACM Transactions on Database Systems","1996","March","4","78"
"ACM Transactions on Database Systems","1996","Sept.","3","74"
"ACM Transactions on Database Systems","1997","Dec.","3","53"
