Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Design Automation of Electronic Systems","1996","April","4","55"
"ACM Transactions on Design Automation of Electronic Systems","1996","January","10","322"
"ACM Transactions on Design Automation of Electronic Systems","1996","July","6","65"
"ACM Transactions on Design Automation of Electronic Systems","1997","April","6","52"
"ACM Transactions on Design Automation of Electronic Systems","1997","January","9","104"
"ACM Transactions on Design Automation of Electronic Systems","1997","July","4","57"
"ACM Transactions on Design Automation of Electronic Systems","1998","April","9","25"
"ACM Transactions on Design Automation of Electronic Systems","1998","January","12","100"
"ACM Transactions on Design Automation of Electronic Systems","1998","July","8","86"
"ACM Transactions on Design Automation of Electronic Systems","1999","April","3","70"
"ACM Transactions on Design Automation of Electronic Systems","1999","January","10","124"
"ACM Transactions on Design Automation of Electronic Systems","1999","July","4","64"
"ACM Transactions on Design Automation of Electronic Systems","2000","April","4","256"
"ACM Transactions on Design Automation of Electronic Systems","2000","January","8","65"
"ACM Transactions on Design Automation of Electronic Systems","2000","July","20","225"
"ACM Transactions on Design Automation of Electronic Systems","2001","April","2","211"
"ACM Transactions on Design Automation of Electronic Systems","2001","January","6","66"
"ACM Transactions on Design Automation of Electronic Systems","2001","July","7","58"
"ACM Transactions on Design Automation of Electronic Systems","2001","October","7","42"
"ACM Transactions on Design Automation of Electronic Systems","2002","April","6","43"
"ACM Transactions on Design Automation of Electronic Systems","2002","January","10","49"
"ACM Transactions on Design Automation of Electronic Systems","2002","July","5","65"
"ACM Transactions on Design Automation of Electronic Systems","2002","October","9","108"
"ACM Transactions on Design Automation of Electronic Systems","2003","April","6","65"
"ACM Transactions on Design Automation of Electronic Systems","2003","January","7","42"
"ACM Transactions on Design Automation of Electronic Systems","2003","July","6","81"
"ACM Transactions on Design Automation of Electronic Systems","2003","October","11","88"
"ACM Transactions on Design Automation of Electronic Systems","2004","April","5","70"
"ACM Transactions on Design Automation of Electronic Systems","2004","January","5","25"
"ACM Transactions on Design Automation of Electronic Systems","2004","July","5","48"
"ACM Transactions on Design Automation of Electronic Systems","2004","October","6","137"
"ACM Transactions on Design Automation of Electronic Systems","2005","April","10","145"
"ACM Transactions on Design Automation of Electronic Systems","2005","January","10","109"
"ACM Transactions on Design Automation of Electronic Systems","2005","July","7","45"
"ACM Transactions on Design Automation of Electronic Systems","2005","October","8","36"
"ACM Transactions on Design Automation of Electronic Systems","2006","April","12","93"
"ACM Transactions on Design Automation of Electronic Systems","2006","January","14","75"
"ACM Transactions on Design Automation of Electronic Systems","2006","July","10","147"
"ACM Transactions on Design Automation of Electronic Systems","2006","October","8","26"
"ACM Transactions on Design Automation of Electronic Systems","2007","April","11","75"
"ACM Transactions on Design Automation of Electronic Systems","2007","August","17","227"
"ACM Transactions on Design Automation of Electronic Systems","2007","January","8","41"
"ACM Transactions on Design Automation of Electronic Systems","2007","September","16","79"
"ACM Transactions on Design Automation of Electronic Systems","2008","April","14","28"
"ACM Transactions on Design Automation of Electronic Systems","2008","January","22","141"
"ACM Transactions on Design Automation of Electronic Systems","2008","July","18","91"
"ACM Transactions on Design Automation of Electronic Systems","2008","September","14","51"
"ACM Transactions on Design Automation of Electronic Systems","2009","August","10","6"
"ACM Transactions on Design Automation of Electronic Systems","2009","December","9","24"
"ACM Transactions on Design Automation of Electronic Systems","2009","January","31","249"
"ACM Transactions on Design Automation of Electronic Systems","2009","March","15","107"
"ACM Transactions on Design Automation of Electronic Systems","2010","February","11","39"
"ACM Transactions on Design Automation of Electronic Systems","2010","January","7","25"
"ACM Transactions on Design Automation of Electronic Systems","2010","November","11","25"
"ACM Transactions on Design Automation of Electronic Systems","2010","September","6","10"
"ACM Transactions on Design Automation of Electronic Systems","2011","June","15","26"
"ACM Transactions on Design Automation of Electronic Systems","2011","March","9","34"
"ACM Transactions on Design Automation of Electronic Systems","2011","October","16","28"
"ACM Transactions on Design Automation of Electronic Systems","2012","April","8","48"
"ACM Transactions on Design Automation of Electronic Systems","2012","January","10","16"
"ACM Transactions on Design Automation of Electronic Systems","2012","June","17","22"
"ACM Transactions on Design Automation of Electronic Systems","2012","October","16","17"
"ACM Transactions on Design Automation of Electronic Systems","2013","December","9","5"
"ACM Transactions on Design Automation of Electronic Systems","2013","January","16","48"
"ACM Transactions on Design Automation of Electronic Systems","2013","July","11","20"
"ACM Transactions on Design Automation of Electronic Systems","2013","March","17","32"
"ACM Transactions on Design Automation of Electronic Systems","2013","October","17","51"
"ACM Transactions on Design Automation of Electronic Systems","2014","August","10","9"
"ACM Transactions on Design Automation of Electronic Systems","2014","June","10","9"
"ACM Transactions on Design Automation of Electronic Systems","2014","March","12","9"
"ACM Transactions on Design Automation of Electronic Systems","2014","November","16","1"
"ACM Transactions on Design Automation of Electronic Systems","2015","November","18","0"
"ACM Transactions on Design Automation of Electronic Systems","2015","September","20","0"
"ACM Transactions on Design Automation of Electronic Systems","2016","January","17","0"
