Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Economics and Computation","2013","December","4","8"
"ACM Transactions on Economics and Computation","2013","January","13","26"
"ACM Transactions on Economics and Computation","2013","September","4","22"
"ACM Transactions on Economics and Computation","2014","July","4","0"
"ACM Transactions on Economics and Computation","2014","June","4","0"
"ACM Transactions on Economics and Computation","2014","March","4","3"
"ACM Transactions on Economics and Computation","2014","October","5","6"
"ACM Transactions on Economics and Computation","2015","April","6","1"
"ACM Transactions on Economics and Computation","2015","December","6","0"
"ACM Transactions on Economics and Computation","2015","July","10","0"
"ACM Transactions on Economics and Computation","2015","June","4","0"
"ACM Transactions on Economics and Computation","2015","March","6","2"
"ACM Transactions on Economics and Computation","2016","April","3","0"
"ACM Transactions on Economics and Computation","2016","February","5","0"
