Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Embedded Computing Systems","2002","November","7","207"
"ACM Transactions on Embedded Computing Systems","2003","August","8","218"
"ACM Transactions on Embedded Computing Systems","2003","February","5","45"
"ACM Transactions on Embedded Computing Systems","2003","January","5","86"
"ACM Transactions on Embedded Computing Systems","2003","November","6","76"
"ACM Transactions on Embedded Computing Systems","2004","August","9","306"
"ACM Transactions on Embedded Computing Systems","2004","February","10","246"
"ACM Transactions on Embedded Computing Systems","2004","January","10","178"
"ACM Transactions on Embedded Computing Systems","2004","November","7","188"
"ACM Transactions on Embedded Computing Systems","2005","August","11","90"
"ACM Transactions on Embedded Computing Systems","2005","February","10","87"
"ACM Transactions on Embedded Computing Systems","2005","January","9","57"
"ACM Transactions on Embedded Computing Systems","2005","November","9","134"
"ACM Transactions on Embedded Computing Systems","2006","August","6","92"
"ACM Transactions on Embedded Computing Systems","2006","February","8","66"
"ACM Transactions on Embedded Computing Systems","2006","January","11","322"
"ACM Transactions on Embedded Computing Systems","2006","November","5","16"
"ACM Transactions on Embedded Computing Systems","2007","December","7","86"
"ACM Transactions on Embedded Computing Systems","2007","February","8","103"
"ACM Transactions on Embedded Computing Systems","2007","January","6","17"
"ACM Transactions on Embedded Computing Systems","2007","July","6","361"
"ACM Transactions on Embedded Computing Systems","2007","September","12","271"
"ACM Transactions on Embedded Computing Systems","2008","April","14","446"
"ACM Transactions on Embedded Computing Systems","2008","December","8","21"
"ACM Transactions on Embedded Computing Systems","2008","February","15","143"
"ACM Transactions on Embedded Computing Systems","2008","July","10","163"
"ACM Transactions on Embedded Computing Systems","2009","April","8","35"
"ACM Transactions on Embedded Computing Systems","2009","January","8","27"
"ACM Transactions on Embedded Computing Systems","2009","July","8","59"
"ACM Transactions on Embedded Computing Systems","2009","October","14","70"
"ACM Transactions on Embedded Computing Systems","2010","August","14","153"
"ACM Transactions on Embedded Computing Systems","2010","December","15","60"
"ACM Transactions on Embedded Computing Systems","2010","February","15","42"
"ACM Transactions on Embedded Computing Systems","2010","March","14","81"
"ACM Transactions on Embedded Computing Systems","2011","April","9","10"
"ACM Transactions on Embedded Computing Systems","2011","November","10","62"
"ACM Transactions on Embedded Computing Systems","2012","August","20","70"
"ACM Transactions on Embedded Computing Systems","2012","December","20","17"
"ACM Transactions on Embedded Computing Systems","2012","July","14","16"
"ACM Transactions on Embedded Computing Systems","2012","June","14","15"
"ACM Transactions on Embedded Computing Systems","2012","March","10","25"
"ACM Transactions on Embedded Computing Systems","2012","September","11","13"
"ACM Transactions on Embedded Computing Systems","2013","August","14","6"
"ACM Transactions on Embedded Computing Systems","2013","December","15","16"
"ACM Transactions on Embedded Computing Systems","2013","February","13","17"
"ACM Transactions on Embedded Computing Systems","2013","January","29","114"
"ACM Transactions on Embedded Computing Systems","2013","June","14","7"
"ACM Transactions on Embedded Computing Systems","2013","March","54","164"
"ACM Transactions on Embedded Computing Systems","2013","November","15","11"
"ACM Transactions on Embedded Computing Systems","2013","September","11","37"
"ACM Transactions on Embedded Computing Systems","2014","January","18","35"
"ACM Transactions on Embedded Computing Systems","2014","July","27","77"
"ACM Transactions on Embedded Computing Systems","2014","March","19","27"
"ACM Transactions on Embedded Computing Systems","2014","November","49","67"
"ACM Transactions on Embedded Computing Systems","2015","December","26","0"
"ACM Transactions on Embedded Computing Systems","2015","January","40","4"
"ACM Transactions on Embedded Computing Systems","2015","March","20","9"
"ACM Transactions on Embedded Computing Systems","2016","February","21","0"
"ACM Transactions on Embedded Computing Systems","2016","March","24","0"
