Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Graphics","2001","April","2","194"
"ACM Transactions on Graphics","2001","January","3","109"
"ACM Transactions on Graphics","2001","July","3","183"
"ACM Transactions on Graphics","2001","October","2","26"
"ACM Transactions on Graphics","2002","April","7","106"
"ACM Transactions on Graphics","2002","January","3","38"
"ACM Transactions on Graphics","2002","July","67","7350"
"ACM Transactions on Graphics","2002","October","4","716"
"ACM Transactions on Graphics","2003","April","6","199"
"ACM Transactions on Graphics","2003","January","8","458"
"ACM Transactions on Graphics","2003","July","68","5415"
"ACM Transactions on Graphics","2003","October","5","156"
"ACM Transactions on Graphics","2004","April","5","104"
"ACM Transactions on Graphics","2004","August","88","8489"
"ACM Transactions on Graphics","2004","January","4","245"
"ACM Transactions on Graphics","2004","October","7","86"
"ACM Transactions on Graphics","2005","April","9","267"
"ACM Transactions on Graphics","2005","January","9","292"
"ACM Transactions on Graphics","2005","July","106","7031"
"ACM Transactions on Graphics","2005","October","11","218"
"ACM Transactions on Graphics","2006","January","7","360"
"ACM Transactions on Graphics","2006","July","72","5012"
"ACM Transactions on Graphics","2006","October","10","309"
"ACM Transactions on Graphics","2009","April","9","105"
"ACM Transactions on Graphics","2009","August","86","3623"
"ACM Transactions on Graphics","2009","December","79","2451"
"ACM Transactions on Graphics","2009","January","11","179"
"ACM Transactions on Graphics","2010","December","49","1092"
"ACM Transactions on Graphics","2010","July","103","3614"
"ACM Transactions on Graphics","2010","June","8","175"
"ACM Transactions on Graphics","2010","March","10","189"
"ACM Transactions on Graphics","2010","October","4","37"
