Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Information Systems","1983","April","4","87"
"ACM Transactions on Information Systems","1983","January","10","819"
"ACM Transactions on Information Systems","1983","July","4","144"
"ACM Transactions on Information Systems","1984","April","5","99"
"ACM Transactions on Information Systems","1984","January","8","431"
"ACM Transactions on Information Systems","1984","July","6","152"
"ACM Transactions on Information Systems","1985","April","6","82"
"ACM Transactions on Information Systems","1985","January","10","167"
"ACM Transactions on Information Systems","1985","July","5","192"
"ACM Transactions on Information Systems","1986","April","4","38"
"ACM Transactions on Information Systems","1986","January","8","288"
"ACM Transactions on Information Systems","1986","July","2","130"
"ACM Transactions on Information Systems","1987","April","5","693"
"ACM Transactions on Information Systems","1987","January","10","411"
"ACM Transactions on Information Systems","1987","July","4","137"
"ACM Transactions on Information Systems","1988","April","5","290"
"ACM Transactions on Information Systems","1988","January","8","852"
"ACM Transactions on Information Systems","1988","July","5","182"
"ACM Transactions on Information Systems","1989","April","3","72"
"ACM Transactions on Information Systems","1989","January","7","503"
"ACM Transactions on Information Systems","1989","July","6","298"
"ACM Transactions on Information Systems","1990","January","10","521"
"ACM Transactions on Information Systems","1990","July","5","301"
"ACM Transactions on Information Systems","1991","April","4","536"
"ACM Transactions on Information Systems","1991","January","8","163"
"ACM Transactions on Information Systems","1991","July","4","402"
"ACM Transactions on Information Systems","1992","April","3","433"
"ACM Transactions on Information Systems","1992","January","10","1534"
"ACM Transactions on Information Systems","1992","July","4","30"
"ACM Transactions on Information Systems","1993","April","2","10"
"ACM Transactions on Information Systems","1993","January","8","619"
"ACM Transactions on Information Systems","1993","July","5","361"
"ACM Transactions on Information Systems","1994","April","4","408"
"ACM Transactions on Information Systems","1994","January","8","184"
"ACM Transactions on Information Systems","1994","July","4","576"
"ACM Transactions on Information Systems","1995","April","1","120"
"ACM Transactions on Information Systems","1995","January","9","217"
"ACM Transactions on Information Systems","1995","July","5","96"
"ACM Transactions on Information Systems","1996","April","4","54"
"ACM Transactions on Information Systems","1996","January","8","283"
"ACM Transactions on Information Systems","1996","July","4","154"
"ACM Transactions on Information Systems","1997","April","4","54"
"ACM Transactions on Information Systems","1997","January","6","355"
"ACM Transactions on Information Systems","1997","July","4","113"
"ACM Transactions on Information Systems","1998","April","3","63"
"ACM Transactions on Information Systems","1998","January","9","348"
"ACM Transactions on Information Systems","1998","July","3","214"
"ACM Transactions on Information Systems","1999","April","4","244"
"ACM Transactions on Information Systems","1999","January","4","123"
"ACM Transactions on Information Systems","1999","July","5","286"
"ACM Transactions on Information Systems","2000","April","3","282"
"ACM Transactions on Information Systems","2000","January","6","467"
"ACM Transactions on Information Systems","2000","July","3","150"
"ACM Transactions on Information Systems","2001","April","3","252"
"ACM Transactions on Information Systems","2001","January","3","183"
"ACM Transactions on Information Systems","2001","July","3","145"
"ACM Transactions on Information Systems","2001","October","3","81"
"ACM Transactions on Information Systems","2002","April","4","211"
"ACM Transactions on Information Systems","2002","January","1","7"
"ACM Transactions on Information Systems","2002","July","3","59"
"ACM Transactions on Information Systems","2002","October","3","1201"
"ACM Transactions on Information Systems","2003","April","3","111"
"ACM Transactions on Information Systems","2003","January","4","250"
"ACM Transactions on Information Systems","2003","July","3","62"
"ACM Transactions on Information Systems","2003","October","6","523"
"ACM Transactions on Information Systems","2004","April","5","659"
"ACM Transactions on Information Systems","2004","January","6","2698"
"ACM Transactions on Information Systems","2004","July","5","312"
"ACM Transactions on Information Systems","2004","October","4","141"
"ACM Transactions on Information Systems","2005","April","3","318"
"ACM Transactions on Information Systems","2005","January","5","341"
"ACM Transactions on Information Systems","2005","July","4","149"
"ACM Transactions on Information Systems","2005","October","4","141"
"ACM Transactions on Information Systems","2006","April","4","123"
"ACM Transactions on Information Systems","2006","January","5","153"
"ACM Transactions on Information Systems","2006","July","4","62"
"ACM Transactions on Information Systems","2006","October","6","55"
"ACM Transactions on Information Systems","2007","April","4","288"
"ACM Transactions on Information Systems","2007","February","5","109"
"ACM Transactions on Information Systems","2007","July","5","241"
"ACM Transactions on Information Systems","2007","November","5","71"
"ACM Transactions on Information Systems","2007","October","6","51"
"ACM Transactions on Information Systems","2008","December","6","169"
"ACM Transactions on Information Systems","2008","June","6","319"
"ACM Transactions on Information Systems","2008","March","6","132"
"ACM Transactions on Information Systems","2008","September","9","215"
"ACM Transactions on Information Systems","2009","February","6","104"
"ACM Transactions on Information Systems","2009","January","6","84"
"ACM Transactions on Information Systems","2009","November","6","86"
"ACM Transactions on Information Systems","2010","December","6","48"
"ACM Transactions on Information Systems","2010","January","9","129"
"ACM Transactions on Information Systems","2010","June","7","40"
"ACM Transactions on Information Systems","2010","November","6","90"
"ACM Transactions on Information Systems","2011","April","6","118"
"ACM Transactions on Information Systems","2011","December","6","49"
"ACM Transactions on Information Systems","2011","July","4","29"
"ACM Transactions on Information Systems","2012","August","5","24"
"ACM Transactions on Information Systems","2012","February","6","84"
"ACM Transactions on Information Systems","2012","January","8","108"
"ACM Transactions on Information Systems","2012","November","8","21"
"ACM Transactions on Information Systems","2013","January","10","39"
"ACM Transactions on Information Systems","2013","July","6","38"
"ACM Transactions on Information Systems","2013","November","6","16"
"ACM Transactions on Information Systems","2014","April","4","3"
"ACM Transactions on Information Systems","2014","January","5","7"
"ACM Transactions on Information Systems","2014","June","6","15"
"ACM Transactions on Information Systems","2014","October","6","4"
"ACM Transactions on Information Systems","2015","February","5","0"
"ACM Transactions on Information Systems","2015","January","6","5"
"ACM Transactions on Information Systems","2015","March","11","4"
"ACM Transactions on Information Systems","2015","October","6","0"
"ACM Transactions on Information Systems","2016","February","5","0"
