Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Information and System Security","1998","January","5","703"
"ACM Transactions on Information and System Security","1999","January","15","1104"
"ACM Transactions on Information and System Security","2000","January","10","1035"
"ACM Transactions on Information and System Security","2001","August","3","783"
"ACM Transactions on Information and System Security","2001","January","4","102"
"ACM Transactions on Information and System Security","2001","November","4","64"
"ACM Transactions on Information and System Security","2002","August","5","226"
"ACM Transactions on Information and System Security","2002","February","3","169"
"ACM Transactions on Information and System Security","2002","January","2","225"
"ACM Transactions on Information and System Security","2002","November","5","394"
"ACM Transactions on Information and System Security","2003","August","3","190"
"ACM Transactions on Information and System Security","2003","February","4","379"
"ACM Transactions on Information and System Security","2003","January","5","170"
"ACM Transactions on Information and System Security","2003","November","5","340"
"ACM Transactions on Information and System Security","2004","August","5","55"
"ACM Transactions on Information and System Security","2004","February","5","356"
"ACM Transactions on Information and System Security","2004","January","5","184"
"ACM Transactions on Information and System Security","2004","November","5","108"
"ACM Transactions on Information and System Security","2005","August","3","106"
"ACM Transactions on Information and System Security","2005","February","6","310"
"ACM Transactions on Information and System Security","2005","January","3","280"
"ACM Transactions on Information and System Security","2005","November","4","69"
"ACM Transactions on Information and System Security","2006","August","5","65"
"ACM Transactions on Information and System Security","2006","February","4","171"
"ACM Transactions on Information and System Security","2006","January","4","54"
"ACM Transactions on Information and System Security","2006","November","1","44"
"ACM Transactions on Information and System Security","2007","February","4","108"
"ACM Transactions on Information and System Security","2007","January","4","50"
"ACM Transactions on Information and System Security","2007","July","4","99"
"ACM Transactions on Information and System Security","2008","December","7","93"
"ACM Transactions on Information and System Security","2008","February","4","53"
"ACM Transactions on Information and System Security","2008","January","6","166"
"ACM Transactions on Information and System Security","2008","July","7","57"
"ACM Transactions on Information and System Security","2008","March","12","99"
"ACM Transactions on Information and System Security","2008","October","6","61"
"ACM Transactions on Information and System Security","2009","April","3","34"
"ACM Transactions on Information and System Security","2009","January","6","138"
"ACM Transactions on Information and System Security","2009","October","10","261"
"ACM Transactions on Information and System Security","2010","December","12","129"
"ACM Transactions on Information and System Security","2010","February","8","110"
"ACM Transactions on Information and System Security","2011","December","5","16"
"ACM Transactions on Information and System Security","2011","January","14","149"
"ACM Transactions on Information and System Security","2011","November","6","33"
"ACM Transactions on Information and System Security","2011","September","7","63"
"ACM Transactions on Information and System Security","2012","July","5","21"
"ACM Transactions on Information and System Security","2012","March","5","77"
"ACM Transactions on Information and System Security","2012","November","4","15"
"ACM Transactions on Information and System Security","2013","April","4","9"
"ACM Transactions on Information and System Security","2013","June","4","7"
"ACM Transactions on Information and System Security","2013","November","4","40"
"ACM Transactions on Information and System Security","2013","September","4","9"
"ACM Transactions on Information and System Security","2014","April","5","3"
"ACM Transactions on Information and System Security","2014","August","4","15"
"ACM Transactions on Information and System Security","2014","November","4","3"
"ACM Transactions on Information and System Security","2015","April","4","0"
"ACM Transactions on Information and System Security","2015","December","4","0"
"ACM Transactions on Information and System Security","2015","June","4","3"
"ACM Transactions on Information and System Security","2015","March","4","6"
"ACM Transactions on Information and System Security","2016","March","2","0"
