Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Intelligent Systems and Technology","2010","November","7","44"
"ACM Transactions on Intelligent Systems and Technology","2010","October","8","47"
"ACM Transactions on Intelligent Systems and Technology","2011","April","13","3845"
"ACM Transactions on Intelligent Systems and Technology","2011","February","9","134"
"ACM Transactions on Intelligent Systems and Technology","2011","January","8","228"
"ACM Transactions on Intelligent Systems and Technology","2011","July","12","104"
"ACM Transactions on Intelligent Systems and Technology","2011","October","18","127"
"ACM Transactions on Intelligent Systems and Technology","2012","February","20","114"
"ACM Transactions on Intelligent Systems and Technology","2012","January","19","185"
"ACM Transactions on Intelligent Systems and Technology","2012","September","20","124"
"ACM Transactions on Intelligent Systems and Technology","2013","December","21","58"
"ACM Transactions on Intelligent Systems and Technology","2013","January","18","94"
"ACM Transactions on Intelligent Systems and Technology","2013","June","20","76"
"ACM Transactions on Intelligent Systems and Technology","2013","March","18","64"
"ACM Transactions on Intelligent Systems and Technology","2013","September","18","71"
"ACM Transactions on Intelligent Systems and Technology","2014","April","15","35"
"ACM Transactions on Intelligent Systems and Technology","2014","September","15","80"
"ACM Transactions on Intelligent Systems and Technology","2015","April","10","17"
"ACM Transactions on Intelligent Systems and Technology","2015","August","17","6"
"ACM Transactions on Intelligent Systems and Technology","2015","January","49","71"
"ACM Transactions on Intelligent Systems and Technology","2015","October","12","3"
"ACM Transactions on Intelligent Systems and Technology","2016","April","18","20"
"ACM Transactions on Intelligent Systems and Technology","2016","January","13","3"
"ACM Transactions on Intelligent Systems and Technology","2016","March","8","0"
