Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Interactive Intelligent Systems","2011","October","6","55"
"ACM Transactions on Interactive Intelligent Systems","2012","December","6","46"
"ACM Transactions on Interactive Intelligent Systems","2012","January","7","95"
"ACM Transactions on Interactive Intelligent Systems","2012","June","5","60"
"ACM Transactions on Interactive Intelligent Systems","2012","March","7","50"
"ACM Transactions on Interactive Intelligent Systems","2012","September","1","13"
"ACM Transactions on Interactive Intelligent Systems","2013","April","5","26"
"ACM Transactions on Interactive Intelligent Systems","2013","July","7","25"
"ACM Transactions on Interactive Intelligent Systems","2013","October","8","32"
"ACM Transactions on Interactive Intelligent Systems","2014","April","7","8"
"ACM Transactions on Interactive Intelligent Systems","2014","January","6","9"
"ACM Transactions on Interactive Intelligent Systems","2014","July","4","5"
"ACM Transactions on Interactive Intelligent Systems","2014","October","5","0"
"ACM Transactions on Interactive Intelligent Systems","2015","January","7","7"
"ACM Transactions on Interactive Intelligent Systems","2015","July","6","10"
"ACM Transactions on Interactive Intelligent Systems","2015","March","5","1"
"ACM Transactions on Interactive Intelligent Systems","2015","October","6","5"
"ACM Transactions on Interactive Intelligent Systems","2016","January","5","0"
"ACM Transactions on Interactive Intelligent Systems","2016","March","6","1"
