Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Internet Technology","2001","January","2","416"
"ACM Transactions on Internet Technology","2001","November","6","126"
"ACM Transactions on Internet Technology","2002","August","6","68"
"ACM Transactions on Internet Technology","2002","February","2","14"
"ACM Transactions on Internet Technology","2002","January","3","555"
"ACM Transactions on Internet Technology","2002","November","6","64"
"ACM Transactions on Internet Technology","2003","August","8","496"
"ACM Transactions on Internet Technology","2003","February","6","666"
"ACM Transactions on Internet Technology","2003","January","6","400"
"ACM Transactions on Internet Technology","2003","November","8","198"
"ACM Transactions on Internet Technology","2004","August","8","130"
"ACM Transactions on Internet Technology","2004","February","8","156"
"ACM Transactions on Internet Technology","2004","January","10","270"
"ACM Transactions on Internet Technology","2004","November","8","454"
"ACM Transactions on Internet Technology","2005","August","10","276"
"ACM Transactions on Internet Technology","2005","February","16","648"
"ACM Transactions on Internet Technology","2005","January","8","216"
"ACM Transactions on Internet Technology","2005","November","8","306"
"ACM Transactions on Internet Technology","2006","August","8","54"
"ACM Transactions on Internet Technology","2006","February","8","142"
"ACM Transactions on Internet Technology","2006","January","8","140"
"ACM Transactions on Internet Technology","2006","November","14","386"
"ACM Transactions on Internet Technology","2007","August","10","68"
"ACM Transactions on Internet Technology","2007","February","14","230"
"ACM Transactions on Internet Technology","2007","January","10","154"
"ACM Transactions on Internet Technology","2007","November","5","70"
"ACM Transactions on Internet Technology","2007","October","12","358"
"ACM Transactions on Internet Technology","2008","February","5","53"
"ACM Transactions on Internet Technology","2008","January","5","59"
"ACM Transactions on Internet Technology","2008","September","6","135"
"ACM Transactions on Internet Technology","2009","February","4","67"
"ACM Transactions on Internet Technology","2009","January","4","42"
"ACM Transactions on Internet Technology","2009","July","4","28"
"ACM Transactions on Internet Technology","2009","September","4","11"
"ACM Transactions on Internet Technology","2010","February","8","62"
"ACM Transactions on Internet Technology","2010","January","8","148"
"ACM Transactions on Internet Technology","2010","October","8","8"
"ACM Transactions on Internet Technology","2011","December","8","10"
"ACM Transactions on Internet Technology","2011","July","8","14"
"ACM Transactions on Internet Technology","2011","March","8","100"
"ACM Transactions on Internet Technology","2012","December","6","4"
"ACM Transactions on Internet Technology","2012","January","12","42"
"ACM Transactions on Internet Technology","2012","June","6","36"
"ACM Transactions on Internet Technology","2012","March","6","6"
"ACM Transactions on Internet Technology","2013","December","6","0"
"ACM Transactions on Internet Technology","2013","January","6","12"
"ACM Transactions on Internet Technology","2013","July","10","38"
"ACM Transactions on Internet Technology","2013","November","6","28"
"ACM Transactions on Internet Technology","2014","December","14","8"
"ACM Transactions on Internet Technology","2014","January","8","18"
"ACM Transactions on Internet Technology","2014","July","20","22"
"ACM Transactions on Internet Technology","2014","October","28","20"
"ACM Transactions on Internet Technology","2015","December","10","0"
"ACM Transactions on Internet Technology","2015","February","10","16"
"ACM Transactions on Internet Technology","2015","June","6","0"
"ACM Transactions on Internet Technology","2015","September","4","8"
"ACM Transactions on Internet Technology","2016","February","14","0"
"ACM Transactions on Internet Technology","2016","March","6","0"
