Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Knowledge Discovery from Data","2007","August","3","17"
"ACM Transactions on Knowledge Discovery from Data","2007","December","6","82"
"ACM Transactions on Knowledge Discovery from Data","2007","March","4","923"
"ACM Transactions on Knowledge Discovery from Data","2008","January","4","21"
"ACM Transactions on Knowledge Discovery from Data","2008","July","4","128"
"ACM Transactions on Knowledge Discovery from Data","2008","March","6","26"
"ACM Transactions on Knowledge Discovery from Data","2008","May","1","0"
"ACM Transactions on Knowledge Discovery from Data","2008","October","4","90"
"ACM Transactions on Knowledge Discovery from Data","2009","April","5","105"
"ACM Transactions on Knowledge Discovery from Data","2009","January","4","93"
"ACM Transactions on Knowledge Discovery from Data","2009","July","4","88"
"ACM Transactions on Knowledge Discovery from Data","2009","March","5","261"
"ACM Transactions on Knowledge Discovery from Data","2009","November","7","77"
"ACM Transactions on Knowledge Discovery from Data","2010","December","6","53"
"ACM Transactions on Knowledge Discovery from Data","2010","January","5","154"
"ACM Transactions on Knowledge Discovery from Data","2010","May","4","38"
"ACM Transactions on Knowledge Discovery from Data","2010","October","11","52"
"ACM Transactions on Knowledge Discovery from Data","2011","August","4","60"
"ACM Transactions on Knowledge Discovery from Data","2011","February","7","125"
"ACM Transactions on Knowledge Discovery from Data","2012","December","6","21"
"ACM Transactions on Knowledge Discovery from Data","2012","February","7","76"
"ACM Transactions on Knowledge Discovery from Data","2012","July","5","10"
"ACM Transactions on Knowledge Discovery from Data","2012","March","4","39"
"ACM Transactions on Knowledge Discovery from Data","2012","October","4","5"
"ACM Transactions on Knowledge Discovery from Data","2013","July","4","18"
"ACM Transactions on Knowledge Discovery from Data","2013","March","4","29"
"ACM Transactions on Knowledge Discovery from Data","2013","November","5","4"
"ACM Transactions on Knowledge Discovery from Data","2013","September","7","8"
"ACM Transactions on Knowledge Discovery from Data","2014","February","6","40"
"ACM Transactions on Knowledge Discovery from Data","2014","June","10","31"
"ACM Transactions on Knowledge Discovery from Data","2014","November","7","4"
"ACM Transactions on Knowledge Discovery from Data","2014","October","14","4"
"ACM Transactions on Knowledge Discovery from Data","2015","April","12","0"
"ACM Transactions on Knowledge Discovery from Data","2015","July","10","4"
"ACM Transactions on Knowledge Discovery from Data","2015","June","9","6"
"ACM Transactions on Knowledge Discovery from Data","2015","October","10","0"
"ACM Transactions on Knowledge Discovery from Data","2016","February","12","0"
