Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Management Information Systems","2010","December","7","39"
"ACM Transactions on Management Information Systems","2011","December","7","49"
"ACM Transactions on Management Information Systems","2011","June","6","59"
"ACM Transactions on Management Information Systems","2011","March","6","54"
"ACM Transactions on Management Information Systems","2011","October","7","30"
"ACM Transactions on Management Information Systems","2012","April","6","51"
"ACM Transactions on Management Information Systems","2012","July","5","35"
"ACM Transactions on Management Information Systems","2012","October","5","29"
"ACM Transactions on Management Information Systems","2013","April","4","9"
"ACM Transactions on Management Information Systems","2013","August","5","15"
"ACM Transactions on Management Information Systems","2013","December","6","4"
"ACM Transactions on Management Information Systems","2013","January","4","12"
"ACM Transactions on Management Information Systems","2013","October","5","4"
"ACM Transactions on Management Information Systems","2014","April","5","15"
"ACM Transactions on Management Information Systems","2014","July","4","0"
"ACM Transactions on Management Information Systems","2015","April","4","0"
"ACM Transactions on Management Information Systems","2015","January","7","0"
"ACM Transactions on Management Information Systems","2015","July","4","2"
"ACM Transactions on Management Information Systems","2015","March","9","6"
"ACM Transactions on Management Information Systems","2015","October","4","0"
"ACM Transactions on Management Information Systems","2016","January","3","0"
"ACM Transactions on Management Information Systems","2016","March","4","0"
