Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Mathematical Software","06","August","4","12"
"ACM Transactions on Mathematical Software","2005","August","4","136"
"ACM Transactions on Mathematical Software","2005","February","8","207"
"ACM Transactions on Mathematical Software","2005","May","5","90"
"ACM Transactions on Mathematical Software","2005","November","3","29"
"ACM Transactions on Mathematical Software","2006","February","4","506"
"ACM Transactions on Mathematical Software","2006","May","4","61"
"ACM Transactions on Mathematical Software","2006","November","6","114"
"ACM Transactions on Mathematical Software","2007","August","6","30"
"ACM Transactions on Mathematical Software","2007","December","9","82"
"ACM Transactions on Mathematical Software","2007","February","6","267"
"ACM Transactions on Mathematical Software","2007","May","6","86"
"ACM Transactions on Mathematical Software","2008","August","7","80"
"ACM Transactions on Mathematical Software","2008","January","8","89"
"ACM Transactions on Mathematical Software","2008","May","9","126"
"ACM Transactions on Mathematical Software","2008","November","8","73"
"ACM Transactions on Mathematical Software","2008","October","14","279"
"ACM Transactions on Mathematical Software","2009","August","9","99"
"ACM Transactions on Mathematical Software","2009","October","5","88"
"ACM Transactions on Mathematical Software","2010","August","11","135"
"ACM Transactions on Mathematical Software","2010","February","6","26"
"ACM Transactions on Mathematical Software","2010","March","6","53"
"ACM Transactions on Mathematical Software","2010","November","8","31"
"ACM Transactions on Mathematical Software","2011","August","7","42"
"ACM Transactions on Mathematical Software","2011","February","6","29"
"ACM Transactions on Mathematical Software","2011","January","6","33"
"ACM Transactions on Mathematical Software","2011","November","5","9"
"ACM Transactions on Mathematical Software","2011","October","14","144"
"ACM Transactions on Mathematical Software","2012","February","6","15"
"ACM Transactions on Mathematical Software","2012","January","8","20"
"ACM Transactions on Mathematical Software","2012","July","7","68"
"ACM Transactions on Mathematical Software","2012","May","6","6"
"ACM Transactions on Mathematical Software","2012","November","3","0"
"ACM Transactions on Mathematical Software","2012","September","17","25"
"ACM Transactions on Mathematical Software","2013","August","9","31"
"ACM Transactions on Mathematical Software","2013","December","8","36"
"ACM Transactions on Mathematical Software","2013","February","8","48"
"ACM Transactions on Mathematical Software","2013","June","5","9"
"ACM Transactions on Mathematical Software","2013","May","7","20"
"ACM Transactions on Mathematical Software","2013","October","23","49"
"ACM Transactions on Mathematical Software","2014","April","7","12"
"ACM Transactions on Mathematical Software","2014","August","7","9"
"ACM Transactions on Mathematical Software","2014","December","9","18"
"ACM Transactions on Mathematical Software","2014","February","7","33"
"ACM Transactions on Mathematical Software","2014","January","7","34"
"ACM Transactions on Mathematical Software","2014","June","7","16"
"ACM Transactions on Mathematical Software","2014","September","14","18"
"ACM Transactions on Mathematical Software","2015","April","9","0"
"ACM Transactions on Mathematical Software","2015","August","10","0"
"ACM Transactions on Mathematical Software","2015","February","7","2"
"ACM Transactions on Mathematical Software","2015","January","8","6"
"ACM Transactions on Mathematical Software","2015","March","5","0"
"ACM Transactions on Mathematical Software","2015","October","16","8"
"ACM Transactions on Mathematical Software","2016","March","10","0"
