Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Sensor Networks","2005","August","5","222"
"ACM Transactions on Sensor Networks","2005","November","6","134"
"ACM Transactions on Sensor Networks","2006","August","6","118"
"ACM Transactions on Sensor Networks","2006","February","5","361"
"ACM Transactions on Sensor Networks","2006","May","5","237"
"ACM Transactions on Sensor Networks","2006","November","6","150"
"ACM Transactions on Sensor Networks","2007","August","5","81"
"ACM Transactions on Sensor Networks","2007","June","6","183"
"ACM Transactions on Sensor Networks","2007","March","6","138"
"ACM Transactions on Sensor Networks","2007","October","5","29"
"ACM Transactions on Sensor Networks","2008","August","9","86"
"ACM Transactions on Sensor Networks","2008","January","5","92"
"ACM Transactions on Sensor Networks","2008","March","6","141"
"ACM Transactions on Sensor Networks","2008","May","7","192"
"ACM Transactions on Sensor Networks","2009","December","9","146"
"ACM Transactions on Sensor Networks","2009","February","9","247"
"ACM Transactions on Sensor Networks","2009","March","9","153"
"ACM Transactions on Sensor Networks","2009","May","9","128"
"ACM Transactions on Sensor Networks","2009","November","9","68"
"ACM Transactions on Sensor Networks","2010","August","18","181"
"ACM Transactions on Sensor Networks","2010","February","9","373"
"ACM Transactions on Sensor Networks","2010","July","9","110"
"ACM Transactions on Sensor Networks","2010","June","9","67"
"ACM Transactions on Sensor Networks","2010","September","8","64"
"ACM Transactions on Sensor Networks","2011","August","9","88"
"ACM Transactions on Sensor Networks","2011","February","9","48"
"ACM Transactions on Sensor Networks","2012","July","9","30"
"ACM Transactions on Sensor Networks","2012","March","9","14"
"ACM Transactions on Sensor Networks","2012","November","9","37"
"ACM Transactions on Sensor Networks","2012","September","9","128"
"ACM Transactions on Sensor Networks","2013","July","18","23"
"ACM Transactions on Sensor Networks","2013","March","18","76"
"ACM Transactions on Sensor Networks","2013","May","9","26"
"ACM Transactions on Sensor Networks","2013","November","17","81"
"ACM Transactions on Sensor Networks","2014","April","16","16"
"ACM Transactions on Sensor Networks","2014","January","20","47"
"ACM Transactions on Sensor Networks","2014","June","15","5"
"ACM Transactions on Sensor Networks","2014","November","21","17"
"ACM Transactions on Sensor Networks","2015","December","12","11"
"ACM Transactions on Sensor Networks","2015","February","18","13"
"ACM Transactions on Sensor Networks","2015","May","13","7"
"ACM Transactions on Sensor Networks","2016","April","5","0"
"ACM Transactions on Sensor Networks","2016","March","7","0"
