Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Software Engineering and Methodology","1992","April","3","121"
"ACM Transactions on Software Engineering and Methodology","1992","January","8","417"
"ACM Transactions on Software Engineering and Methodology","1992","July","4","166"
"ACM Transactions on Software Engineering and Methodology","1993","April","3","201"
"ACM Transactions on Software Engineering and Methodology","1993","January","6","170"
"ACM Transactions on Software Engineering and Methodology","1993","July","4","278"
"ACM Transactions on Software Engineering and Methodology","1994","April","3","201"
"ACM Transactions on Software Engineering and Methodology","1994","January","6","119"
"ACM Transactions on Software Engineering and Methodology","1994","July","3","34"
"ACM Transactions on Software Engineering and Methodology","1995","April","5","155"
"ACM Transactions on Software Engineering and Methodology","1995","January","5","189"
"ACM Transactions on Software Engineering and Methodology","1995","July","2","60"
"ACM Transactions on Software Engineering and Methodology","1996","April","4","198"
"ACM Transactions on Software Engineering and Methodology","1996","January","7","606"
"ACM Transactions on Software Engineering and Methodology","1996","July","3","297"
"ACM Transactions on Software Engineering and Methodology","1997","April","3","222"
"ACM Transactions on Software Engineering and Methodology","1997","January","6","504"
"ACM Transactions on Software Engineering and Methodology","1997","July","4","481"
"ACM Transactions on Software Engineering and Methodology","1998","April","3","123"
"ACM Transactions on Software Engineering and Methodology","1998","January","7","138"
"ACM Transactions on Software Engineering and Methodology","1998","July","4","352"
"ACM Transactions on Software Engineering and Methodology","1999","April","3","149"
"ACM Transactions on Software Engineering and Methodology","1999","January","7","154"
"ACM Transactions on Software Engineering and Methodology","1999","July","3","37"
"ACM Transactions on Software Engineering and Methodology","2000","April","3","77"
"ACM Transactions on Software Engineering and Methodology","2000","January","8","451"
"ACM Transactions on Software Engineering and Methodology","2000","July","3","199"
"ACM Transactions on Software Engineering and Methodology","2001","April","3","154"
"ACM Transactions on Software Engineering and Methodology","2001","January","4","137"
"ACM Transactions on Software Engineering and Methodology","2001","July","3","88"
"ACM Transactions on Software Engineering and Methodology","2002","April","4","491"
"ACM Transactions on Software Engineering and Methodology","2002","January","4","150"
"ACM Transactions on Software Engineering and Methodology","2002","July","1","0"
"ACM Transactions on Software Engineering and Methodology","2002","October","4","87"
"ACM Transactions on Software Engineering and Methodology","2003","April","4","120"
"ACM Transactions on Software Engineering and Methodology","2003","January","5","92"
"ACM Transactions on Software Engineering and Methodology","2003","July","2","513"
"ACM Transactions on Software Engineering and Methodology","2003","October","3","97"
"ACM Transactions on Software Engineering and Methodology","2004","April","3","28"
"ACM Transactions on Software Engineering and Methodology","2004","January","3","108"
"ACM Transactions on Software Engineering and Methodology","2004","July","2","72"
"ACM Transactions on Software Engineering and Methodology","2004","October","2","75"
"ACM Transactions on Software Engineering and Methodology","2005","April","5","93"
"ACM Transactions on Software Engineering and Methodology","2005","January","3","151"
"ACM Transactions on Software Engineering and Methodology","2005","July","3","194"
"ACM Transactions on Software Engineering and Methodology","2005","October","4","109"
"ACM Transactions on Software Engineering and Methodology","2006","April","3","61"
"ACM Transactions on Software Engineering and Methodology","2006","January","3","308"
"ACM Transactions on Software Engineering and Methodology","2006","July","3","140"
"ACM Transactions on Software Engineering and Methodology","2006","October","3","119"
"ACM Transactions on Software Engineering and Methodology","2007","April","4","84"
"ACM Transactions on Software Engineering and Methodology","2007","December","4","39"
"ACM Transactions on Software Engineering and Methodology","2007","February","5","184"
"ACM Transactions on Software Engineering and Methodology","2007","July","3","43"
"ACM Transactions on Software Engineering and Methodology","2007","September","3","143"
"ACM Transactions on Software Engineering and Methodology","2008","April","7","144"
"ACM Transactions on Software Engineering and Methodology","2008","August","4","55"
"ACM Transactions on Software Engineering and Methodology","2008","June","5","79"
"ACM Transactions on Software Engineering and Methodology","2008","November","4","100"
"ACM Transactions on Software Engineering and Methodology","2008","September","3","100"
"ACM Transactions on Software Engineering and Methodology","2009","August","3","57"
"ACM Transactions on Software Engineering and Methodology","2009","January","5","62"
"ACM Transactions on Software Engineering and Methodology","2009","July","3","62"
"ACM Transactions on Software Engineering and Methodology","2009","October","3","71"
"ACM Transactions on Software Engineering and Methodology","2010","April","3","8"
"ACM Transactions on Software Engineering and Methodology","2010","August","4","56"
"ACM Transactions on Software Engineering and Methodology","2010","January","4","40"
"ACM Transactions on Software Engineering and Methodology","2010","June","3","59"
"ACM Transactions on Software Engineering and Methodology","2011","August","6","107"
"ACM Transactions on Software Engineering and Methodology","2011","December","6","63"
"ACM Transactions on Software Engineering and Methodology","2011","September","6","80"
"ACM Transactions on Software Engineering and Methodology","2012","June","6","84"
"ACM Transactions on Software Engineering and Methodology","2012","March","7","57"
"ACM Transactions on Software Engineering and Methodology","2012","November","6","61"
"ACM Transactions on Software Engineering and Methodology","2013","February","9","77"
"ACM Transactions on Software Engineering and Methodology","2013","July","12","39"
"ACM Transactions on Software Engineering and Methodology","2013","March","6","55"
"ACM Transactions on Software Engineering and Methodology","2013","October","11","59"
"ACM Transactions on Software Engineering and Methodology","2014","August","9","16"
"ACM Transactions on Software Engineering and Methodology","2014","December","6","11"
"ACM Transactions on Software Engineering and Methodology","2014","February","10","55"
"ACM Transactions on Software Engineering and Methodology","2014","January","6","24"
"ACM Transactions on Software Engineering and Methodology","2014","March","10","54"
"ACM Transactions on Software Engineering and Methodology","2014","September","6","5"
"ACM Transactions on Software Engineering and Methodology","2015","August","6","5"
"ACM Transactions on Software Engineering and Methodology","2015","December","10","0"
"ACM Transactions on Software Engineering and Methodology","2015","January","7","4"
