Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Storage","2005","August","3","84"
"ACM Transactions on Storage","2005","February","5","61"
"ACM Transactions on Storage","2005","May","5","165"
"ACM Transactions on Storage","2005","November","3","128"
"ACM Transactions on Storage","2006","August","5","98"
"ACM Transactions on Storage","2006","February","4","104"
"ACM Transactions on Storage","2006","May","4","61"
"ACM Transactions on Storage","2006","November","5","83"
"ACM Transactions on Storage","2007","June","3","31"
"ACM Transactions on Storage","2007","March","3","24"
"ACM Transactions on Storage","2007","October","7","254"
"ACM Transactions on Storage","2008","February","5","66"
"ACM Transactions on Storage","2008","May","5","181"
"ACM Transactions on Storage","2008","November","5","133"
"ACM Transactions on Storage","2009","December","6","83"
"ACM Transactions on Storage","2009","January","5","88"
"ACM Transactions on Storage","2009","June","4","42"
"ACM Transactions on Storage","2009","March","3","30"
"ACM Transactions on Storage","2009","November","4","30"
"ACM Transactions on Storage","2010","July","4","39"
"ACM Transactions on Storage","2010","March","3","21"
"ACM Transactions on Storage","2010","September","7","120"
"ACM Transactions on Storage","2011","July","3","13"
"ACM Transactions on Storage","2011","June","3","7"
"ACM Transactions on Storage","2011","May","2","4"
"ACM Transactions on Storage","2011","October","4","47"
"ACM Transactions on Storage","2012","February","4","23"
"ACM Transactions on Storage","2012","January","3","60"
"ACM Transactions on Storage","2012","May","3","25"
"ACM Transactions on Storage","2012","November","5","44"
"ACM Transactions on Storage","2012","September","3","0"
"ACM Transactions on Storage","2013","August","4","37"
"ACM Transactions on Storage","2013","July","3","5"
"ACM Transactions on Storage","2013","March","3","12"
"ACM Transactions on Storage","2013","November","4","40"
"ACM Transactions on Storage","2013","October","1","0"
"ACM Transactions on Storage","2014","January","4","12"
"ACM Transactions on Storage","2014","July","4","0"
"ACM Transactions on Storage","2014","March","4","35"
"ACM Transactions on Storage","2014","October","5","0"
"ACM Transactions on Storage","2015","February","4","0"
"ACM Transactions on Storage","2015","July","4","0"
"ACM Transactions on Storage","2015","March","6","6"
"ACM Transactions on Storage","2015","November","5","0"
"ACM Transactions on Storage","2016","February","9","0"
