Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on the Web","2007","August","4","93"
"ACM Transactions on the Web","2007","May","5","616"
"ACM Transactions on the Web","2007","September","4","56"
"ACM Transactions on the Web","2008","April","5","74"
"ACM Transactions on the Web","2008","February","9","255"
"ACM Transactions on the Web","2008","July","3","34"
"ACM Transactions on the Web","2008","May","1","0"
"ACM Transactions on the Web","2008","October","5","147"
"ACM Transactions on the Web","2009","April","3","32"
"ACM Transactions on the Web","2009","January","4","109"
"ACM Transactions on the Web","2009","June","4","80"
"ACM Transactions on the Web","2009","September","3","129"
"ACM Transactions on the Web","2010","April","4","55"
"ACM Transactions on the Web","2010","January","3","160"
"ACM Transactions on the Web","2010","July","5","34"
"ACM Transactions on the Web","2010","September","5","62"
"ACM Transactions on the Web","2011","February","5","271"
"ACM Transactions on the Web","2011","July","5","30"
"ACM Transactions on the Web","2011","May","6","58"
"ACM Transactions on the Web","2011","October","5","28"
"ACM Transactions on the Web","2012","March","4","84"
"ACM Transactions on the Web","2012","May","4","87"
"ACM Transactions on the Web","2012","November","5","42"
"ACM Transactions on the Web","2012","September","4","15"
"ACM Transactions on the Web","2013","December","6","16"
"ACM Transactions on the Web","2013","March","2","19"
"ACM Transactions on the Web","2013","May","7","27"
"ACM Transactions on the Web","2013","October","8","24"
"ACM Transactions on the Web","2013","September","6","17"
"ACM Transactions on the Web","2014","June","7","9"
"ACM Transactions on the Web","2014","March","6","2"
"ACM Transactions on the Web","2014","October","6","3"
"ACM Transactions on the Web","2015","January","5","0"
"ACM Transactions on the Web","2015","June","6","1"
"ACM Transactions on the Web","2015","May","3","8"
"ACM Transactions on the Web","2015","October","4","0"
"ACM Transactions on the Web","2016","February","7","0"
