Name,Year,Month,ArticleCount,CitationCount
"Journal of Data and Information Quality","2009","December","5","15"
"Journal of Data and Information Quality","2009","June","5","76"
"Journal of Data and Information Quality","2009","September","7","42"
"Journal of Data and Information Quality","2010","July","6","25"
"Journal of Data and Information Quality","2011","December","3","15"
"Journal of Data and Information Quality","2011","February","5","29"
"Journal of Data and Information Quality","2012","April","2","3"
"Journal of Data and Information Quality","2012","August","2","9"
"Journal of Data and Information Quality","2012","February","2","0"
"Journal of Data and Information Quality","2012","January","2","2"
"Journal of Data and Information Quality","2012","October","5","2"
"Journal of Data and Information Quality","2012","September","2","0"
"Journal of Data and Information Quality","2013","January","3","2"
"Journal of Data and Information Quality","2013","March","5","6"
"Journal of Data and Information Quality","2014","August","7","15"
"Journal of Data and Information Quality","2014","January","4","0"
"Journal of Data and Information Quality","2015","February","7","3"
"Journal of Data and Information Quality","2015","July","9","5"
"Journal of Data and Information Quality","2015","March","3","0"
"Journal of Data and Information Quality","2015","October","5","0"
"Journal of Data and Information Quality","2016","April","4","0"
