Name,Year,Month,ArticleCount,CitationCount
"Journal of Experimental Algorithmics","1996","January","4","76"
"Journal of Experimental Algorithmics","1997","January","5","90"
"Journal of Experimental Algorithmics","1998","January","9","118"
"Journal of Experimental Algorithmics","1999","January","8","57"
"Journal of Experimental Algorithmics","2000","January","16","234"
"Journal of Experimental Algorithmics","2001","January","10","52"
"Journal of Experimental Algorithmics","2002","January","12","54"
"Journal of Experimental Algorithmics","2003","January","6","93"
"Journal of Experimental Algorithmics","2004","January","6","38"
"Journal of Experimental Algorithmics","2005","January","15","80"
"Journal of Experimental Algorithmics","2006","January","6","36"
"Journal of Experimental Algorithmics","2008","January","19","102"
"Journal of Experimental Algorithmics","2009","January","23","192"
"Journal of Experimental Algorithmics","2010","January","12","51"
"Journal of Experimental Algorithmics","2011","January","18","22"
"Journal of Experimental Algorithmics","2012","January","1","0"
"Journal of Experimental Algorithmics","2013","January","14","21"
"Journal of Experimental Algorithmics","2014","January","18","6"
"Journal of Experimental Algorithmics","2015","January","7","0"
"Journal of Experimental Algorithmics","2016","April","9","0"
