Name,Year,Month,ArticleCount,CitationCount
"Journal on Computing and Cultural Heritage","2008","June","6","51"
"Journal on Computing and Cultural Heritage","2008","October","6","18"
"Journal on Computing and Cultural Heritage","2009","December","2","44"
"Journal on Computing and Cultural Heritage","2009","July","4","35"
"Journal on Computing and Cultural Heritage","2009","November","2","2"
"Journal on Computing and Cultural Heritage","2010","February","1","13"
"Journal on Computing and Cultural Heritage","2010","June","2","27"
"Journal on Computing and Cultural Heritage","2010","September","5","40"
"Journal on Computing and Cultural Heritage","2011","April","2","9"
"Journal on Computing and Cultural Heritage","2011","August","3","20"
"Journal on Computing and Cultural Heritage","2011","December","6","11"
"Journal on Computing and Cultural Heritage","2011","March","5","70"
"Journal on Computing and Cultural Heritage","2011","November","4","32"
"Journal on Computing and Cultural Heritage","2012","April","4","10"
"Journal on Computing and Cultural Heritage","2012","December","5","38"
"Journal on Computing and Cultural Heritage","2012","July","4","10"
"Journal on Computing and Cultural Heritage","2012","October","4","11"
"Journal on Computing and Cultural Heritage","2013","January","5","17"
"Journal on Computing and Cultural Heritage","2013","July","4","2"
"Journal on Computing and Cultural Heritage","2013","March","5","9"
"Journal on Computing and Cultural Heritage","2013","November","5","4"
"Journal on Computing and Cultural Heritage","2014","August","5","0"
"Journal on Computing and Cultural Heritage","2014","February","5","0"
"Journal on Computing and Cultural Heritage","2014","July","9","15"
"Journal on Computing and Cultural Heritage","2015","August","5","0"
"Journal on Computing and Cultural Heritage","2015","February","14","17"
"Journal on Computing and Cultural Heritage","2015","January","6","2"
"Journal on Computing and Cultural Heritage","2015","March","5","0"
"Journal on Computing and Cultural Heritage","2016","February","6","0"
"Journal on Computing and Cultural Heritage","2016","January","2","0"
