Name,InternationalityScore,TotalArticleCount,TotalCitationCount
"ACM Journal on Emerging Technologies in Computing Systems","0.32172399445022876","288","855"
"ACM Transactions on Accessible Computing","0.3778842228963915","112","840"
"ACM Transactions on Algorithms","0.4765993827069671","487","2447"
"ACM Transactions on Applied Perception","0.3520390013998272","292","2321"
"ACM Transactions on Architecture and Code Optimization","0.4328740447420612","459","2612"
"ACM Transactions on Asian and Low-Resource Language Information Processing","0.299999359082806","273","1337"
"ACM Transactions on Autonomous and Adaptive Systems","0.3987372183287539","229","1828"
"ACM Transactions on Computation Theory","0.31308262724539954","89","66"
"ACM Transactions on Computer Systems","0.5630686645340911","431","31142"
"ACM Transactions on Computer-Human Interaction","0.5591891475090145","441","19630"
"ACM Transactions on Computing Education","0.4777719443442117","269","2258"
"ACM Transactions on Design Automation of Electronic Systems","0.38848129156329025","783","5137"
"ACM Transactions on Economics and Computation","0.3914392604869853","78","68"
"ACM Transactions on Embedded Computing Systems","0.3870435874860044","835","5371"
"ACM Transactions on Graphics","0.5343062198911239","865","48828"
"ACM Transactions on Information Systems","0.46221582796931826","600","26745"
"ACM Transactions on Information and System Security","0.42371179436821965","309","9613"
"ACM Transactions on Intelligent Systems and Technology","0.48975367749733","386","5550"
"ACM Transactions on Interactive Intelligent Systems","0.4570835838474934","109","448"
"ACM Transactions on Internet Technology","0.40068714051655274","476","8056"
"ACM Transactions on Knowledge Discovery from Data","0.41841420460571854","230","2692"
"ACM Transactions on Management Information Systems","0.36835775697044437","117","413"
"ACM Transactions on Mathematical Software","0.44187088721066786","425","3439"
"ACM Transactions on Modelling and Computer Simulations","0.3752624706870522","483","6687"
"ACM Transactions on Sensor Networks","0.44213342354948754","424","4370"
"ACM Transactions on Software Engineering and Methodology","0.5077964391522268","409","11728"
"ACM Transactions on Spatial Algorithms and Systems","0","12","6"
"ACM Transactions on Storage","0.41199146498090106","188","2296"
"ACM Transactions on Storage","0.27838277284920965","40","20"
"ACM Transactions on the Web","0.44190471396370323","178","2677"
"Journal of Data and Information Quality","0.30486426629103264","93","249"
"Journal of Experimental Algorithmics","0.3348737923551983","218","1322"
"Journal of the ACM","0.5292053134113432","1553","38220"
"Journal on Computing and Cultural Heritage","0.3164085578823229","141","507"
